stay_year,stay_month_num,season,booking_window,room_name,quoted_requests,converted_requests,same_room_converted,conversion_pct
2025,7,PEAK,91-180,Appartamento Area Giardino,116,4,4,3.4482758620689653
2025,7,PEAK,91-180,Appartamento Area Piscina,147,7,5,3.401360544217687
2025,7,PEAK,91-180,Camera  Standard,163,5,4,2.4539877300613497
2025,7,PEAK,91-180,Camera Deluxe,259,5,3,1.1583011583011582
2025,7,PEAK,91-180,Camera Superior,212,2,1,0.4716981132075472
2025,7,PEAK,91-180,Suite Familiare,11,1,1,9.090909090909092
2025,7,PEAK,91-180,Suite Familiare Vista Piscina,29,0,0,0.0
2025,7,PEAK,91-180,Villino Double,1,0,0,0.0
2025,8,PEAK,0-7,Appartamento Area Giardino,82,11,10,12.195121951219512
2025,8,PEAK,0-7,Appartamento Area Piscina,18,2,2,11.11111111111111
2025,8,PEAK,0-7,Camera  Standard,35,7,7,20.0
2025,8,PEAK,0-7,Camera Deluxe,2,0,0,0.0
2025,8,PEAK,0-7,Camera Superior,23,6,6,26.08695652173913
2025,8,PEAK,0-7,Suite Familiare,4,0,0,0.0
2025,8,PEAK,0-7,Villino 2Ten,1,0,0,0.0
2025,8,PEAK,0-7,Villino Double,3,1,1,33.333333333333336
2025,8,PEAK,15-30,Appartamento Area Giardino,64,3,3,4.6875
2025,8,PEAK,15-30,Appartamento Area Piscina,202,11,8,3.9603960396039604
2025,8,PEAK,15-30,Camera  Standard,54,6,6,11.11111111111111
2025,8,PEAK,15-30,Camera Deluxe,29,5,2,6.896551724137931
2025,8,PEAK,15-30,Camera Superior,34,2,1,2.9411764705882355
2025,8,PEAK,15-30,Suite Familiare,11,1,0,0.0
2025,8,PEAK,15-30,Suite Familiare Vista Piscina,6,2,2,33.333333333333336
2025,8,PEAK,15-30,Villino Double,1,0,0,0.0
2025,8,PEAK,181+,Appartamento Area Giardino,28,0,0,0.0
2025,8,PEAK,181+,Appartamento Area Piscina,6,0,0,0.0
2025,8,PEAK,181+,Camera  Standard,9,0,0,0.0
2025,8,PEAK,181+,Camera Deluxe,15,0,0,0.0
